movie_id,user_id,rating,timestamp,genres
320.0,189.0,4.0,1623626304.0,Thriller|Comedy|Action
201.0,210.0,2.0,1615914767.0,Action
172.0,145.0,5.0,1622996867.0,Drama
342.0,391.0,5.0,1616444576.0,Comedy
35.0,116.0,4.0,1626953022.0,Thriller|Action
376.0,274.0,5.0,1612742759.0,Thriller
301.0,,2.0,1637546284.0,Drama|Adventure
215.0,281.0,5.0,1632305033.0,Thriller|Adventure
4.0,269.0,2.0,1627288243.0,Action|Thriller
257.0,218.0,1.0,1614608689.0,Drama
112.0,278.0,5.0,1630959447.0,Comedy
300.0,252.0,2.0,1623391047.0,Action|Drama|Comedy
10.0,235.0,4.0,1622608880.0,Action|Comedy|Thriller
486.0,251.0,2.0,1628814715.0,Drama
70.0,381.0,5.0,1636036249.0,Thriller|Comedy|Adventure
443.0,301.0,1.0,1619211926.0,Thriller|Sci-Fi|Adventure
43.0,452.0,5.0,1613683790.0,Action|Drama|Thriller
409.0,452.0,4.0,1613067026.0,Drama
492.0,487.0,1.0,,Action|Romance|Comedy
327.0,395.0,4.0,1624164192.0,Adventure|Drama|Sci-Fi
241.0,116.0,2.0,1611241933.0,Adventure|Comedy
176.0,206.0,3.0,1623438152.0,Drama
73.0,391.0,5.0,1633287931.0,Comedy|Action
334.0,406.0,2.0,1623663074.0,Drama
324.0,418.0,4.0,1618074793.0,Romance
364.0,422.0,4.0,1630881029.0,Adventure|Sci-Fi|Drama
489.0,324.0,4.0,1635811079.0,Sci-Fi|Comedy
425.0,438.0,3.0,1610135069.0,Action
204.0,469.0,5.0,1629141690.0,Romance|Adventure
467.0,359.0,3.0,1632756599.0,Thriller|Adventure
137.0,481.0,4.0,1633179056.0,Romance|Sci-Fi|Drama
92.0,344.0,2.0,1623178953.0,Thriller|Comedy|Sci-Fi
241.0,170.0,5.0,1633147050.0,Sci-Fi|Drama|Action
257.0,130.0,4.0,1637746351.0,Action
154.0,307.0,5.0,1636634340.0,Sci-Fi|Comedy
61.0,229.0,2.0,1622893268.0,Comedy|Drama
347.0,293.0,3.0,1627414812.0,Romance|Action|Thriller
163.0,355.0,1.0,1612342400.0,Sci-Fi|Comedy|Romance
259.0,276.0,2.0,1635296372.0,Thriller|Romance
320.0,143.0,5.0,1610245707.0,Adventure|Comedy|Drama
411.0,409.0,3.0,1638815739.0,Drama|Sci-Fi
161.0,207.0,4.0,1635487821.0,Drama
100.0,417.0,4.0,1610198769.0,Action|Sci-Fi
491.0,278.0,3.0,1617317289.0,Drama|Comedy
24.0,234.0,2.0,1613732126.0,Drama
233.0,233.0,3.0,1622140986.0,Romance|Adventure
120.0,118.0,2.0,1633947006.0,Romance|Adventure
182.0,169.0,4.0,1611901750.0,Romance|Adventure
94.0,428.0,1.0,1611383698.0,Romance|Drama
300.0,154.0,1.0,1619041992.0,Comedy
209.0,356.0,1.0,1615606512.0,Thriller|Action|Sci-Fi
304.0,363.0,1.0,1625102065.0,Drama|Thriller
201.0,113.0,4.0,1625170972.0,Comedy
230.0,236.0,,1640256208.0,Drama
206.0,179.0,4.0,1632516132.0,Sci-Fi
179.0,156.0,1.0,1613127944.0,Thriller|Drama|Adventure
440.0,101.0,1.0,1634369095.0,Thriller|Sci-Fi|Romance
236.0,492.0,3.0,1633818513.0,Adventure|Action|Comedy
481.0,,3.0,1636410088.0,Romance
